id,name,pinyin,aliases,common_brands,indications,contraindications,dosage,side_effects,precautions,storage,pregnancy_level,pregnancy_desc,lactation_level,lactation_desc,children_usable,children_desc,is_hot,is_active
11,连花清瘟胶囊,lianhuaqingwen jiaonang,,以岭,用于治疗流行性感冒、热毒袭肺证。,运动员慎用；过敏体质者慎用。,口服，一次4粒，一日3次。,胃肠道不适,忌烟酒及辛辣油腻食物。,密封保存。,,,,,True,,True,True
12,板蓝根颗粒,banlangen keli,,同仁堂,用于清热解毒、凉血利咽。,孕妇慎用；体质虚寒者慎用。,口服，一次1袋，一日3次。,偶见恶心、呕吐,不宜长期服用。,密封保存。,,,,,True,,False,True
13,双黄连口服液,shuanghuanglian koufuye,,同仁堂,用于清热解毒。,孕妇慎用；脾胃虚寒者慎用。,口服，一次20ml，一日3次。,胃肠道反应,忌辛辣油腻食物。,密封保存。,,,,,True,,False,True
14,多潘立酮,duopanlitong,,吗丁啉,用于消化不良、腹胀、嗳气。,机械性肠梗阻禁用；嗜铬细胞瘤禁用。,口服，一次10mg，一日3次。,偶见头痛、头晕,孕妇慎用；哺乳期妇女使用时应停止哺乳。,密封保存。,,,,,True,,False,True
15,铝碳酸镁,lv tansuanmei,,达喜,用于胃酸过多、反酸、烧心。,肾功能不全者禁用。,口服，一次1g，一日4次。,便秘,长期使用需定期检查血铝。,密封保存。,,,,,True,,False,True
16,果胶铋,guaojiao bi,,舒克斐,用于保护胃粘膜。,对本品过敏者禁用。,口服，一次1g，一日3次。,偶见便秘,本品不影响其他药物吸收。,密封保存。,,,,,True,,False,True
17,氨氯地平,anludiping,,络活喜,用于高血压、心绞痛。,严重低血压禁用；对二氢吡啶类过敏者禁用。,口服，一次5mg，一日1次。,头痛、面部潮红、水肿,肝功能不全者慎用；避免与葡萄柚汁同服。,遮光保存。,,,,,True,,False,True
18,阿托伐他汀,atuofatating,,立普妥,用于高胆固醇血症。,活动性肝病患者禁用。,口服，一次10mg，一日1次。,肝功能异常、肌肉疼痛,定期检查肝功能；避免与葡萄柚汁同服。,密封保存。,,,,,True,,False,True
19,硫酸氢氯吡格雷,liusuanqinglubigelei,,波立维,用于预防心脑血管血栓。,活动性出血者禁用。,口服，一次75mg，一日1次。,出血、淤斑,手术前7天需停用；注意出血倾向。,密封保存。,,,,,True,,False,True
20,头孢拉定,toubaolading,,先锋霉素6号,用于敏感菌所致的各种感染。,对头孢类抗生素过敏者禁用。,口服，一次0.5g，一日4次。,胃肠道反应、过敏,青霉素过敏者慎用；饮酒后禁用。,密封保存。,,,,,True,,False,True
21,左氧氟沙星,zuoyangfushaxing,,可乐必妥,用于敏感菌引起的各种感染。,对喹诺酮类过敏者禁用；18岁以下禁用。,口服，一次0.2g，一日2次。,胃肠道反应、中枢神经系统反应,避免阳光直射；注意肌腱炎风险。,遮光保存。,,,,,True,,False,True
22,特非那定,tefeinading,,扑尔敏,用于皮肤过敏。,对本品过敏者禁用。,口服，一次4mg，一日3次。,嗜睡、口干,服药期间避免驾驶；饮酒后禁用。,密封保存。,,,,,True,,False,True
23,氯雷他定,lufeitading,,开瑞坦,用于过敏性鼻炎、荨麻疹。,对本品过敏者禁用。,口服，一次10mg，一日1次。,头痛、嗜睡,部分人可能仍有嗜睡，驾驶时需注意。,密封保存。,,,,,True,,False,True
24,地奈德,dinaide,,皮炎平,用于湿疹、皮炎、皮肤瘙痒症。,对本品过敏者禁用。,外用，一日2-3次。,局部刺激,避免接触眼睛；不建议大面积使用。,密封保存。,,,,,True,,False,True
25,双氯芬酸钠,shuanglvfensuanna,,扶他林,用于缓解疼痛和炎症。,活动性消化道溃疡者禁用。,口服，一次25mg，一日3次。,胃肠道反应,餐后服用；有胃病史者慎用。,密封保存。,,,,,True,,False,True
26,塞来昔布,selaixibu,,西乐葆,用于缓解骨关节炎疼痛。,对磺胺过敏者禁用。,口服，一次100mg，一日2次。,胃肠道反应、心血管风险,有心血管病史者慎用；最低有效剂量。,密封保存。,,,,,True,,False,True
27,洛索洛芬,luosuoluofen,,乐松,用于疼痛和炎症。,活动性消化道溃疡者禁用。,"口服，一次60mg, 一日3次。",胃肠道反应,餐后服用；有哮喘史者慎用。,密封保存。,,,,,True,,False,True
28,维生素C片,weishengsu C pian,,力度伸,用于维生素C缺乏症。,对本品过敏者禁用。,口服，一次0.1g，一日3次。,长期大量使用可致腹泻,不宜长期大量服用。,密封保存。,,,,,True,,False,True
29,维生素D滴剂,weishengsu D diji,,星鲨,用于预防和治疗维生素D缺乏症。,高钙血症禁用。,口服，一次1粒，一日1-2次。,过量使用可中毒,按推荐剂量服用。,密封保存。,,,,,True,,False,True
30,复合维生素B,fuhe weishengsu B,,金维他,用于维生素B族缺乏症。,对本品任何成分过敏者禁用。,口服，一次1片，一日1次。,罕见过敏反应,尿液可能变黄。,密封保存。,,,,,True,,False,True
31,六味地黄丸,liuwei dihuang wan,,,用于肾阴亏损。,感冒发热患者不宜服用。,口服，一次8丸，一日3次。,罕见胃肠道不适,忌辛辣食物。,密封保存。,,,,,True,,False,True
32,逍遥丸,xiaoyao wan,,,用于肝郁脾虚。,孕妇慎用；感冒时暂停服用。,口服，一次8丸，一日3次。,罕见胃肠道反应,忌食生冷。,密封保存。,,,,,True,,False,True
33,复方丹参滴丸,fufang dansen diwan,,天士力,用于气滞血瘀。,孕妇慎用。,口服，一次10丸，一日3次。,胃肠道不适,寒凝血瘀者慎用。,密封保存。,,,,,True,,False,True
34,安宫牛黄丸,angong niuhuang wan,,,用于热病神昏。,孕妇禁用。,口服，一次1丸，一日1次。,罕见,本品含剧毒药，按说明书服用。,密封保存。,,,,,True,,False,True
35,开塞露,kaisailu,,,用于便秘。,对本品过敏者禁用。,肛内注入，成人一次20ml。,偶见腹部不适,不宜长期使用。,密封保存。,,,,,True,,False,True
36,碘伏,dianfu,,,用于皮肤、黏膜消毒。,对本品过敏者禁用。,外用，涂擦患处。,偶见过敏反应,不可内服；避免接触眼睛。,密封保存。,,,,,True,,False,True
37,医用酒精,yiyong jiujing,,,用于皮肤消毒。,,外用，涂抹患处。,偶见过敏,易燃，远离火源。,阴凉处保存。,,,,,True,,False,True
38,阿来替尼胶囊（安圣莎）,阿来替尼胶囊（安圣莎）,,安圣莎,阿来替尼，规格：150mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
39,莫西沙星片（拜复乐）,莫西沙星片（拜复乐）,,拜复乐,莫西沙星，规格：400mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
40,奥拉帕利片（利普卓）,奥拉帕利片（利普卓）,,利普卓,奥拉帕利，规格：150mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
41,恩替卡韦分散片（博路定）,恩替卡韦分散片（博路定）,,博路定,恩替卡韦，规格：0.5mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
42,维兰特罗/氟替卡松吸入粉雾剂（伟思罗）,维兰特罗/氟替卡松吸入粉雾剂（伟思罗）,,伟思罗,维兰特罗/氟替卡松，规格：25μg/100μg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
43,达巴万星注射液（达尔文）,达巴万星注射液（达尔文）,,达尔文,达巴万星，规格：500mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
44,阿利沙坦酯片（信立坦）,阿利沙坦酯片（信立坦）,,信立坦,阿利沙坦，规格：40mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
45,贝伐珠单抗注射液（安维汀）,贝伐珠单抗注射液（安维汀）,,安维汀,贝伐珠单抗，规格：100mg/4ml,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
46,西格列汀片（捷诺维）,西格列汀片（捷诺维）,,捷诺维,西格列汀，规格：100mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
47,依度沙班片（利时敏）,依度沙班片（利时敏）,,利时敏,依度沙班，规格：60mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
48,维莫非尼片（佐博伏）,维莫非尼片（佐博伏）,,佐博伏,维莫非尼，规格：240mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
49,厄贝沙坦片（安博诺）,厄贝沙坦片（安博诺）,,安博诺,厄贝沙坦，规格：150mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
50,恩替卡韦分散片（博路定）,恩替卡韦分散片（博路定）,,博路定,恩替卡韦，规格：0.5mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
51,利托那韦片（诺力平）,利托那韦片（诺力平）,,诺力平,利托那韦，规格：100mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
52,非洛地平缓释片（波依定）,非洛地平缓释片（波依定）,,波依定,非洛地平，规格：5mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
53,阿德福韦酯片（阿迪仙）,阿德福韦酯片（阿迪仙）,,阿迪仙,阿德福韦酯，规格：10mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
54,阿卡波糖片（拜糖平）,阿卡波糖片（拜糖平）,,拜糖平,阿卡波糖，规格：50mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
55,沙格列汀片（安达唐）,沙格列汀片（安达唐）,,安达唐,沙格列汀，规格：5mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
56,巴洛沙韦片（速畅）,巴洛沙韦片（速畅）,,速畅,巴洛沙韦，规格：20mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
57,索马鲁肽注射液（诺和泰）,索马鲁肽注射液（诺和泰）,,诺和泰,索马鲁肽，规格：1.34mg/ml,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
58,利托那韦片（诺力平）,利托那韦片（诺力平）,,诺力平,利托那韦，规格：100mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
59,利奈唑胺片（再普乐）,利奈唑胺片（再普乐）,,再普乐,利奈唑胺，规格：600mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
60,普瑞巴林胶囊（乐瑞卡）,普瑞巴林胶囊（乐瑞卡）,,乐瑞卡,普瑞巴林，规格：75mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
61,利伐沙班片（拜瑞妥）,利伐沙班片（拜瑞妥）,,拜瑞妥,利伐沙班，规格：10mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
62,帕博利珠单抗注射液（可瑞达）,帕博利珠单抗注射液（可瑞达）,,可瑞达,帕博利珠单抗，规格：100mg/4ml,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
63,伊马替尼片（格列卫）,伊马替尼片（格列卫）,,格列卫,伊马替尼，规格：100mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
64,沙美特罗/丙酸氟替卡松吸入气雾剂（舒利迭）,沙美特罗/丙酸氟替卡松吸入气雾剂（舒利迭）,,舒利迭,沙美特罗/丙酸氟替卡松，规格：50μg/250μg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
65,拉米夫定片（贺普丁）,拉米夫定片（贺普丁）,,贺普丁,拉米夫定，规格：100mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
66,特拉唑嗪片（复代文）,特拉唑嗪片（复代文）,,复代文,特拉唑嗪，规格：2mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
67,度拉糖肽注射液（度易达）,度拉糖肽注射液（度易达）,,度易达,度拉糖肽，规格：0.75mg/0.5ml,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
68,兰索拉唑肠溶胶囊（达克普隆）,兰索拉唑肠溶胶囊（达克普隆）,,达克普隆,兰索拉唑，规格：30mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
69,达沙替尼片（施达赛）,达沙替尼片（施达赛）,,施达赛,达沙替尼，规格：50mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
70,美罗培南注射液（美平）,美罗培南注射液（美平）,,美平,美罗培南，规格：1.0g,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
71,磷酸奥司他韦胶囊（达菲）,磷酸奥司他韦胶囊（达菲）,,达菲,奥司他韦，规格：75mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
72,巴洛沙韦片（晴乐）,巴洛沙韦片（晴乐）,,晴乐,巴洛沙韦，规格：20mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
73,达巴万星注射液（达托明）,达巴万星注射液（达托明）,,达托明,达巴万星，规格：500mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
74,阿利吉仑片（雷恩心）,阿利吉仑片（雷恩心）,,雷恩心,阿利吉仑，规格：150mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
75,埃索美拉唑镁肠溶胶囊（新胃美）,埃索美拉唑镁肠溶胶囊（新胃美）,,新胃美,埃索美拉唑，规格：20mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
76,索磷布韦片（索华迪）,索磷布韦片（索华迪）,,索华迪,索磷布韦，规格：400mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
77,奥美沙坦片（傲坦）,奥美沙坦片（傲坦）,,傲坦,奥美沙坦，规格：20mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
78,加巴喷丁胶囊（迈乐）,加巴喷丁胶囊（迈乐）,,迈乐,加巴喷丁，规格：300mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
79,艾塞那肽注射液（百泌达）,艾塞那肽注射液（百泌达）,,百泌达,艾塞那肽，规格：5μg/20μL,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
80,瑞格列奈片（诺和龙）,瑞格列奈片（诺和龙）,,诺和龙,瑞格列奈，规格：1mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
81,维格列汀片（佳维乐）,维格列汀片（佳维乐）,,佳维乐,维格列汀，规格：50mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
82,茚达特罗/格隆溴铵吸入粉雾剂（欧适维）,茚达特罗/格隆溴铵吸入粉雾剂（欧适维）,,欧适维,茚达特罗/格隆溴铵，规格：110μg/50μg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
83,利奈唑胺片（再普乐）,利奈唑胺片（再普乐）,,再普乐,利奈唑胺，规格：600mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
84,索拉非尼片（多吉美）,索拉非尼片（多吉美）,,多吉美,索拉非尼，规格：200mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
85,莫西沙星片（拜复乐）,莫西沙星片（拜复乐）,,拜复乐,莫西沙星，规格：0.4g,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
86,替诺福韦片（韦瑞德）,替诺福韦片（韦瑞德）,,韦瑞德,替诺福韦，规格：25mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
87,泮托拉唑钠肠溶片（泰胃美）,泮托拉唑钠肠溶片（泰胃美）,,泰胃美,泮托拉唑，规格：40mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
88,氨氯地平贝特片（络活喜）,氨氯地平贝特片（络活喜）,,络活喜,氨氯地平，规格：5mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
89,克唑替尼胶囊（赛可瑞）,克唑替尼胶囊（赛可瑞）,,赛可瑞,克唑替尼，规格：250mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
90,艾尔巴韦/格拉瑞韦片（艾诺宁）,艾尔巴韦/格拉瑞韦片（艾诺宁）,,艾诺宁,艾尔巴韦/格拉瑞韦，规格：50mg/100mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
91,度洛西汀肠溶胶囊（欣百达）,度洛西汀肠溶胶囊（欣百达）,,欣百达,度洛西汀，规格：60mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
92,贝那普利氢氯噻嗪片（洛汀新）,贝那普利氢氯噻嗪片（洛汀新）,,洛汀新,贝那普利，规格：10mg/12.5mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
93,利拉鲁肽注射液（诺和力）,利拉鲁肽注射液（诺和力）,,诺和力,利拉鲁肽，规格：18mg/3ml,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
94,沙库巴曲缬沙坦钠片（安欣汀）,沙库巴曲缬沙坦钠片（安欣汀）,,安欣汀,沙库巴曲，规格：50mg/51mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
95,利普卡替尼片（艾瑞妮）,利普卡替尼片（艾瑞妮）,,艾瑞妮,利普卡替尼，规格：50mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
96,达比加群酯胶囊（泰毕全）,达比加群酯胶囊（泰毕全）,,泰毕全,达比加群，规格：110mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
97,利格列汀片（欧唐静）,利格列汀片（欧唐静）,,欧唐静,利格列汀，规格：5mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
98,缬沙坦片（代文）,缬沙坦片（代文）,,代文,缬沙坦，规格：80mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
99,卡格列净片（科磊）,卡格列净片（科磊）,,科磊,卡格列净，规格：100mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
100,阿德福韦酯片（恩甘定）,阿德福韦酯片（恩甘定）,,恩甘定,阿德福韦酯，规格：10mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
101,阿比多尔片（凯力达）,阿比多尔片（凯力达）,,凯力达,阿比多尔，规格：100mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
102,纳武利尤单抗注射液（欧狄沃）,纳武利尤单抗注射液（欧狄沃）,,欧狄沃,纳武利尤单抗，规格：100mg/10ml,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
103,艾司奥美拉唑镁肠溶片（耐信）,艾司奥美拉唑镁肠溶片（耐信）,,耐信,艾司奥美拉唑，规格：20mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
104,达卡他韦片（倍希维）,达卡他韦片（倍希维）,,倍希维,达卡他韦，规格：60mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
105,替加环素注射液（泰阁）,替加环素注射液（泰阁）,,泰阁,替加环素，规格：50mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
106,厄洛替尼片（特罗凯）,厄洛替尼片（特罗凯）,,特罗凯,厄洛替尼，规格：150mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
107,拉贝洛尔片（通心络）,拉贝洛尔片（通心络）,,通心络,拉贝洛尔，规格：100mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
108,艾尔巴韦格拉瑞韦片（艾诺欣）,艾尔巴韦格拉瑞韦片（艾诺欣）,,艾诺欣,艾尔巴韦格拉瑞韦，规格：50mg/100mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
109,利西诺普利片（捷赐瑞）,利西诺普利片（捷赐瑞）,,捷赐瑞,利西诺普利，规格：10mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
110,阿哌沙班片（艾乐妥）,阿哌沙班片（艾乐妥）,,艾乐妥,阿哌沙班，规格：2.5mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
111,文拉法辛缓释胶囊（怡诺思）,文拉法辛缓释胶囊（怡诺思）,,怡诺思,文拉法辛，规格：75mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
112,泰诺福韦艾拉酚胺片（韦立得）,泰诺福韦艾拉酚胺片（韦立得）,,韦立得,泰诺福韦艾拉酚胺，规格：25mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
113,替诺福韦酯片（韦瑞德）,替诺福韦酯片（韦瑞德）,,韦瑞德,替诺福韦，规格：300mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
114,阿法替尼片（吉泰瑞）,阿法替尼片（吉泰瑞）,,吉泰瑞,阿法替尼，规格：40mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
115,雷贝拉唑钠肠溶片（瑞波特）,雷贝拉唑钠肠溶片（瑞波特）,,瑞波特,雷贝拉唑，规格：10mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
116,恩格列净片（恩格卡）,恩格列净片（恩格卡）,,恩格卡,恩格列净，规格：10mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
117,帕罗西汀片（赛乐特）,帕罗西汀片（赛乐特）,,赛乐特,帕罗西汀，规格：20mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
118,坎地沙坦片（必洛斯）,坎地沙坦片（必洛斯）,,必洛斯,坎地沙坦，规格：8mg,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
119,美罗培南注射液（美平）,美罗培南注射液（美平）,,美平,美罗培南，规格：1.0g,详见说明书,详见说明书,详见说明书,详见原研药说明书,,,,,,True,,True,True
